TVD,PP
3558.712766,1730.156984
3559.207447,1730.888867
3559.702128,1731.40092
3560.196809,1731.102074
3560.691489,1728.180427
3561.18617,1720.872723
3561.680851,1707.382489
3562.175532,1684.900315
3562.670213,1649.91975
3563.164894,1600.699011
3563.659574,1541.15291
3564.154255,1480.768965
3564.648936,1429.62934
3565.143617,1390.635195
3565.638298,1358.326496
3566.132979,1326.624439
3566.62766,1295.53658
3567.12234,1270.613092
3567.617021,1255.731307
3568.111702,1249.449601
3568.606383,1246.439072
3569.101064,1240.561236
3569.595745,1228.0637
3570.090426,1209.434069
3570.585106,1191.100831
3571.079787,1183.704215
3571.574468,1198.355025
3572.069149,1241.872013
3572.56383,1313.13121
3573.058511,1401.231938
3573.553191,1489.024211
3574.047872,1563.590266
3574.542553,1622.386277
3575.037234,1671.788754
3575.531915,1718.118658
3576.026596,1761.062654
3576.521277,1796.087181
3577.015957,1821.23074
3577.510638,1838.316786
3578.005319,1848.875181
3578.5,1852.571616
3578.994681,1848.494125
3579.489362,1837.37228
3579.984043,1821.667565
3580.478723,1804.361465
3580.973404,1787.61857
3581.468085,1770.087031
3581.962766,1745.762118
3582.457447,1708.192062
3582.952128,1658.821542
3583.446809,1609.201767
3583.941489,1570.516675
3584.43617,1542.857893
3584.930851,1516.782351
3585.425532,1486.372364
3585.920213,1455.35711
3586.414894,1431.121321
3586.909574,1412.742375
3587.404255,1389.509547
3587.898936,1351.421826
3588.393617,1297.362058
3588.888298,1239.687288
3589.382979,1198.990889
3589.87766,1191.355388
3590.37234,1214.220679
3590.867021,1248.131727
3591.361702,1274.963245
3591.856383,1292.91621
3592.351064,1314.422931
3592.845745,1349.447196
3593.340426,1394.780219
3593.835106,1439.959156
3594.329787,1478.153144
3594.824468,1509.243505
3595.319149,1532.832141
3595.81383,1543.41292
3596.308511,1535.393991
3596.803191,1514.034539
3597.297872,1499.824131
3597.792553,1516.140312
3598.287234,1571.295214
3598.781915,1651.490658
3599.276596,1732.59147
3599.771277,1796.085095
3600.265957,1835.477733
3600.760638,1854.499901
3601.255319,1862.060253
3601.75,1866.349717
3602.244681,1870.860114
3602.739362,1874.9082
3603.234043,1876.199655
3603.728723,1871.178057
3604.223404,1856.003738
3604.718085,1830.354628
3605.212766,1801.914788
3605.707447,1785.812128
3606.202128,1793.346172
3606.696809,1820.836585
3607.191489,1852.073154
3607.68617,1872.244928
3608.180851,1877.171197
3608.675532,1870.867367
3609.170213,1858.286703
3609.664894,1841.554687
3610.159574,1823.25312
3610.654255,1808.511909
3611.148936,1801.808101
3611.643617,1802.943839
3612.138298,1807.165378
3612.632979,1809.79067
3613.12766,1809.226823
3613.62234,1807.837875
3614.117021,1809.657631
3614.611702,1816.756645
3615.106383,1827.541413
3615.601064,1837.564194
3616.095745,1843.712742
3616.590426,1845.957832
3617.085106,1845.651553
3617.579787,1840.804401
3618.074468,1825.41593
3618.569149,1795.995741
3619.06383,1757.97167
3619.558511,1725.276529
3620.053191,1709.964282
3620.547872,1712.266213
3621.042553,1721.831539
3621.537234,1728.320968
3622.031915,1728.699263
3622.526596,1725.685179
3623.021277,1723.475669
3623.515957,1724.98466
3624.010638,1730.642292
3624.505319,1738.174296
3625,1743.510963
3625.494737,1743.019645
3625.989474,1735.332553
3626.484211,1722.675651
3626.978947,1710.826563
3627.473684,1709.058297
3627.968421,1726.354163
3628.463158,1763.688787
3628.957895,1809.431318
3629.452632,1845.555863
3629.947368,1860.864875
3630.442105,1857.519119
3630.936842,1847.175603
3631.431579,1840.372676
