,P
3309.867021,1327.995313
3310.361702,1361.6612
3310.856383,1391.945516
3311.351064,1419.531706
3311.845745,1444.873483
3312.340426,1466.989353
3312.835106,1483.886778
3313.329787,1493.720199
3313.824468,1495.142877
3314.319149,1487.052443
3314.81383,1468.694921
3315.308511,1440.776195
3315.803191,1406.088461
3316.297872,1368.679131
3316.792553,1332.109921
3317.287234,1297.904287
3317.781915,1265.634351
3318.276596,1234.440235
3318.771277,1204.597306
3319.265957,1177.8577
3319.760638,1156.492056
3320.255319,1141.82608
3320.75,1132.976072
3321.244681,1127.677442
3321.739362,1124.03807
3322.234043,1121.474788
3322.728723,1120.487781
3323.223404,1122.166425
3323.718085,1128.385061
3324.212766,1141.816303
3324.707447,1164.824313
3325.202128,1197.200051
3325.696809,1235.479468
3326.191489,1274.668073
3326.68617,1310.636396
3327.180851,1341.605863
3327.675532,1367.964179
3328.170213,1390.856968
3328.664894,1410.750969
3329.159574,1426.892777
3329.654255,1438.111468
3330.148936,1443.940545
3330.643617,1445.197183
3331.138298,1443.724817
3331.632979,1441.45946
3332.12766,1439.794695
3332.62234,1439.409487
3333.117021,1440.244747
3333.611702,1441.488783
3334.106383,1442.085743
3334.601064,1441.365991
3335.095745,1439.407189
3335.590426,1436.81782
3336.085106,1434.378001
3336.579787,1432.960824
3337.074468,1433.451921
3337.569149,1436.356266
3338.06383,1441.249782
3338.558511,1446.958192
3339.053191,1452.348052
3339.547872,1456.452931
3340.042553,1457.65758
3340.537234,1452.798359
3341.031915,1437.874936
3341.526596,1410.820725
3342.021277,1374.570636
3342.515957,1337.119161
3343.010638,1307.297435
3343.505319,1289.629959
3344,1282.473507
3344.494737,1280.825858
3344.989474,1279.861832
3345.484211,1276.692227
3345.978947,1270.684834
3346.473684,1263.201949
3346.968421,1256.708633
3347.463158,1252.56997
3347.957895,1249.169764
3348.452632,1241.856717
3348.947368,1225.641511
3349.442105,1199.203094
3349.936842,1167.696907
3350.431579,1141.865601
3350.926316,1132.093779
3351.421053,1141.554207
3351.915789,1164.131552
3352.410526,1189.12612
3352.905263,1208.172896
3353.4,1218.628207
3353.894737,1222.470337
3354.389474,1223.366051
3354.884211,1225.129569
3355.378947,1230.619332
3355.873684,1240.410475
3356.368421,1250.92773
3356.863158,1256.176999
3357.357895,1253.774049
3357.852632,1248.865693
3358.347368,1252.263812
3358.842105,1272.779322
3359.336842,1311.025783
3359.831579,1359.46984
3360.326316,1408.000328
3360.821053,1449.92011
3361.315789,1484.023112
3361.810526,1512.900475
3362.305263,1538.901598
3362.8,1562.120093
3363.294737,1581.698318
3363.789474,1598.041644
3364.284211,1613.327234
3364.778947,1629.522028
3365.273684,1646.749755
3365.768421,1662.186554
3366.263158,1671.302553
3366.757895,1671.583144
3367.252632,1665.03922
3367.747368,1657.556436
3368.242105,1654.647592
3368.736842,1658.227785
3369.231579,1666.842428
3369.726316,1678.540577
3370.221053,1692.471821
3370.715789,1707.962244
3371.210526,1723.572897
3371.705263,1736.893659
3372.2,1745.586744
3372.694737,1748.82652
3373.189474,1747.581856
3373.684211,1743.681145
3374.178947,1738.208697
3374.673684,1731.147323
3375.168421,1722.564977
3375.663158,1714.909671
3376.157895,1714.080713
3376.652632,1725.198671
3377.147368,1746.648792
3377.642105,1769.317542
3378.136842,1782.955771
3378.631579,1783.135548
3379.126316,1772.353732
3379.621053,1755.758547
3380.115789,1737.01118
3380.610526,1718.00153
3381.105263,1700.197377
3381.6,1685.11652
3382.094737,1673.892276
3382.589474,1666.281801
3383.084211,1660.153382
3383.578947,1652.02403
3384.073684,1638.669816
3384.568421,1618.92839
3385.063158,1594.266062
3385.557895,1567.387644
3386.052632,1539.880196
3386.547368,1511.699374
3387.042105,1483.378092
3387.536842,1458.262136
3388.031579,1441.811619
3388.526316,1437.685893
3389.021053,1444.243048
3389.515789,1455.385112
3390.010526,1464.02611
3390.505263,1464.269333
3391,1451.981703
3391.494737,1424.394989
3391.989474,1381.856109
3392.484211,1330.314167
3392.978947,1281.924239
3393.473684,1251.055138
3393.968421,1246.898971
3394.463158,1269.221981
3394.957895,1309.507027
3395.452632,1357.03804
3395.947368,1402.986131
3396.442105,1441.778589
3396.936842,1469.316533
3397.431579,1481.961581
3397.926316,1478.604295
3398.421053,1462.440264
3398.915789,1441.290352
3399.410526,1424.025979
3399.905263,1416.844271
3400.4,1422.165773
3400.894737,1440.035749
3401.389474,1469.233722
3401.884211,1506.433973
3402.378947,1546.281947
3402.873684,1582.509206
3403.368421,1609.152207
3403.863158,1622.33565
3404.357895,1621.774507
3404.852632,1611.603487
3405.347368,1599.271754
3405.842105,1593.038691
3406.336842,1598.639048
3406.831579,1617.761554
3407.326316,1648.990845
3407.821053,1688.046063
3408.315789,1728.748383
3408.810526,1764.758822
3409.305263,1791.330019
3409.8,1805.898794
3410.294737,1808.46957
3410.789474,1800.887809
3411.284211,1786.953882
3411.778947,1772.139503
3412.273684,1761.162893
3412.768421,1756.056882
3413.263158,1756.682158
3413.757895,1762.639933
3414.252632,1772.60704
3414.747368,1782.72201
3415.242105,1786.031382
3415.736842,1775.411738
3416.231579,1747.558582
3416.726316,1703.931533
3417.221053,1648.053512
3417.715789,1582.357304
3418.210526,1507.456355
3418.705263,1423.644864
3419.2,1333.752318
3419.694737,1244.254774
3420.189474,1162.922113
3420.684211,1095.692674
3421.178947,1044.153575
3421.673684,1004.659321
3422.168421,970.4205211
3422.663158,934.6818018
3423.157895,893.8448975
3423.652632,847.7647499
3424.147368,799.1737102
3424.642105,752.0763777
3425.136842,710.9419404
3425.631579,679.6211445
3426.126316,659.7297597
3426.621053,652.9572627
3427.115789,662.0699013
3427.610526,688.3048181
3428.105263,726.6495941
3428.6,767.2259052
3429.094737,803.3590696
3429.589474,837.199196
3430.084211,876.2945127
3430.578947,924.3147586
3431.073684,977.5649848
3431.568421,1029.349356
3432.063158,1075.966978
3432.557895,1117.971681
3433.052632,1157.106726
3433.547368,1193.984571
3434.042105,1228.255273
3434.536842,1260.53716
