,TVD,PP,FP,PP_ED,FP_ED,PP_ED_SF,FP_ED_SF,MW
6971,3485.5,1671.426034,2528.493724,9.221864392,13.95061807,9.721864392,13.45061807,10.9
6972,3486,1671.644287,2529.285924,9.221745703,13.95298736,9.721745703,13.45298736,10.9
6973,3486.5,1671.305319,2529.678263,9.218553535,13.95315041,9.718553535,13.45315041,10.9
6974,3487,1670.367309,2529.76331,9.212058575,13.95161871,9.712058575,13.45161871,10.9
6975,3487.5,1669.067014,2529.568029,9.203567762,13.94854165,9.703567762,13.44854165,10.9
6976,3488,1667.824987,2529.142726,9.19540064,13.94419728,9.69540064,13.44419728,10.9
6977,3488.5,1667.014773,2528.537895,9.189616284,13.93886449,9.689616284,13.43886449,10.9
6978,3489,1666.739143,2527.904658,9.186780114,13.93337665,9.686780114,13.43337665,10.9
6979,3489.5,1666.887419,2527.323273,9.186280927,13.92817614,9.686280927,13.42817614,10.9
6980,3490,1667.272633,2526.857121,9.187087463,13.92361208,9.687087463,13.42361208,10.9
6981,3490.5,1667.728214,2526.70039,9.188281457,13.92075408,9.688281457,13.42075408,10.9
6982,3491,1668.049899,2526.787464,9.188737516,13.91923993,9.688737516,13.41923993,10.9
6983,3491.5,1667.943024,2526.878796,9.186832988,13.91774968,9.686832988,13.41774968,10.9
6984,3492,1667.247525,2526.87614,9.181687398,13.91574225,9.681687398,13.41574225,10.9
6985,3492.5,1666.143526,2526.712072,9.174293957,13.91284661,9.674293957,13.41284661,10.9
6986,3493,1665.086086,2526.605875,9.167158968,13.9102704,9.667158968,13.4102704,10.9
6987,3493.5,1664.427049,2526.832005,9.162219118,13.90952431,9.662219118,13.40952431,10.9
6988,3494,1664.190833,2527.464514,9.159607859,13.91101511,9.659607859,13.41101511,10.9
6989,3494.5,1664.187321,2528.032247,9.158277958,13.91214902,9.658277958,13.41214902,10.9
6990,3495,1664.243182,2528.103884,9.157275129,13.9105529,9.657275129,13.4105529,10.9
6991,3495.5,1664.37803,2527.75039,9.156707141,13.90661835,9.656707141,13.40661835,10.9
6992,3496,1664.739704,2527.357667,9.157387037,13.90246912,9.657387037,13.40246912,10.9
6993,3496.5,1665.484597,2527.168935,9.160174444,13.89944304,9.660174444,13.39944304,10.9
6994,3497,1666.565158,2527.155297,9.164806966,13.89738071,9.664806966,13.39738071,10.9
6995,3497.5,1667.654193,2527.117045,9.16948476,13.89518362,9.66948476,13.39518362,10.9
6996,3498,1668.407379,2527.140286,9.172314836,13.89332523,9.672314836,13.39332523,10.9
6997,3498.5,1668.732613,2527.553905,9.17279171,13.89361322,9.67279171,13.39361322,10.9
6998,3499,1668.831372,2528.303054,9.172023723,13.89574524,9.672023723,13.39574524,10.9
6999,3499.5,1668.893007,2529.029079,9.171051948,13.89774956,9.671051948,13.39774956,10.9
7000,3500,1668.981553,2529.385766,9.170228312,13.89772399,9.670228312,13.39772399,10.9
7001,3500.5,1669.114447,2529.29535,9.169648552,13.89524216,9.669648552,13.39524216,10.9
7002,3501,1669.45304,2529.06425,9.170198846,13.89198828,9.670198846,13.39198828,10.9
7003,3501.5,1670.274601,2529.098925,9.173401513,13.890195,9.673401513,13.390195,10.9
7004,3502,1671.640362,2529.555099,9.179591672,13.89071684,9.679591672,13.39071684,10.9
7005,3502.5,1673.173297,2530.291178,9.186697948,13.89277537,9.686697948,13.39277537,10.9
7006,3503,1674.233855,2530.946343,9.191208937,13.89438911,9.691208937,13.39438911,10.9
7007,3503.5,1674.497946,2531.293216,9.191346818,13.89431018,9.691346818,13.39431018,10.9
7008,3504,1674.222188,2531.39951,9.188521842,13.8929109,9.688521842,13.3929109,10.9
7009,3504.5,1673.974076,2531.611713,9.18584938,13.8920932,9.68584938,13.3920932,10.9
7010,3505,1674.095706,2532.138742,9.185206334,13.89300308,9.685206334,13.39300308,10.9
7011,3505.5,1674.519075,2532.968798,9.186218774,13.89557507,9.686218774,13.39557507,10.9
7012,3506,1674.963157,2533.900437,9.187344533,13.89870353,9.687344533,13.39870353,10.9
7013,3506.5,1675.200127,2534.853777,9.187334108,13.9019501,9.687334108,13.4019501,10.9
7014,3507,1675.280112,2535.710927,9.186462853,13.90466829,9.686462853,13.40466829,10.9
7015,3507.5,1675.502724,2536.417236,9.186373836,13.90655867,9.686373836,13.40655867,10.9
7016,3508,1676.148807,2536.877143,9.1886063,13.90709775,9.6886063,13.40709775,10.9
7017,3508.5,1677.176243,2537.094949,9.192928399,13.90630967,9.692928399,13.40630967,10.9
7018,3509,1678.254662,2537.284717,9.197528672,13.90536816,9.697528672,13.40536816,10.9
7019,3509.5,1679.125467,2537.644681,9.200989986,13.90535952,9.700989986,13.40535952,10.9
7020,3510,1679.834275,2538.261838,9.203562759,13.90676001,9.703562759,13.40676001,10.9
7021,3510.5,1680.636593,2538.756975,9.206647051,13.90749167,9.706647051,13.40749167,10.9
7022,3511,1681.704086,2538.788924,9.211182906,13.90568611,9.711182906,13.40568611,10.9
7023,3511.5,1683.029194,2538.501976,9.217128302,13.90213461,9.717128302,13.40213461,10.9
7024,3512,1684.553498,2538.217589,9.224162749,13.89859815,9.724162749,13.39859815,10.9
7025,3512.5,1686.312697,2538.166009,9.232481233,13.89633731,9.732481233,13.39633731,10.9
7026,3513,1688.41053,2538.26201,9.242651088,13.89488499,9.742651088,13.39488499,10.9
7027,3513.5,1690.814802,2538.337148,9.254495308,13.89331889,9.754495308,13.39331889,10.9
7028,3514,1693.255059,2538.374861,9.266533092,13.89154843,9.766533092,13.39154843,10.9
7029,3514.5,1695.363834,2538.358897,9.276753638,13.88948475,9.776753638,13.38948475,10.9
7030,3515,1696.942696,2538.19768,9.284072087,13.88662698,9.784072087,13.38662698,10.9
7031,3515.5,1697.99963,2537.896224,9.288533364,13.88300288,9.788533364,13.38300288,10.9
7032,3516,1698.606863,2537.70739,9.290533728,13.87999579,9.790533728,13.37999579,10.9
7033,3516.5,1698.785541,2537.942474,9.29018988,13.87930784,9.79018988,13.37930784,10.9
7034,3517,1698.535825,2538.869989,9.287503693,13.88240627,9.787503693,13.38240627,10.9
